Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
"Aaron Rodgers, GB",4,449,610,401,4428,40,7,1,67,369,4,1,0,0,0,0,4,0
"Matt Ryan, Atl",11,412,534,373,4944,38,7,1,35,117,0,1,0,0,0,0,2,0
"Drew Brees, NO",5,401,673,471,5208,37,15,0,23,20,2,0,0,0,0,0,4,0
"Andrew Luck, Ind",10,364,545,346,4240,31,13,2,64,341,2,0,0,0,0,0,5,0
"Kirk Cousins, Was",9,343,606,406,4917,25,12,0,34,96,4,0,0,0,0,0,3,0
"Philip Rivers, SD",11,321,578,349,4386,33,21,0,14,35,0,0,0,0,0,0,5,0
"Dak Prescott, Dal",7,321,459,311,3667,23,4,0,57,282,6,0,0,0,0,0,4,0
"Matthew Stafford, Det",10,317,594,388,4327,24,10,1,37,207,2,0,0,0,0,0,2,0
"David Johnson, Ari",9,316,0,0,0,0,0,0,293,1239,16,0,80,879,4,1,3,0
"Derek Carr, Oak",10,316,560,357,3937,28,6,5,39,70,0,0,0,0,0,0,3,0
"Blake Bortles, Jax",5,311,625,368,3905,23,16,1,58,359,3,1,1,20,1,0,6,0
"Tom Brady, NE",9,307,432,291,3554,28,2,1,28,64,0,0,0,0,0,0,0,0
"Ben Roethlisberger, Pit",8,306,509,328,3819,29,13,3,16,14,1,0,0,0,0,0,2,0
"Jameis Winston, TB",6,305,567,345,4090,28,18,3,53,165,1,0,0,0,0,0,6,0
"Marcus Mariota, Ten",13,304,451,276,3426,26,9,0,60,349,2,0,0,0,0,0,5,0
"Russell Wilson, Sea",5,300,546,353,4219,21,11,1,72,259,1,0,2,14,1,0,2,0
"Tyrod Taylor, Buf",10,290,436,269,3023,17,6,1,95,580,6,1,0,0,0,0,2,0
"Carson Palmer, Ari",9,290,597,364,4233,26,14,1,14,38,0,0,0,0,0,0,4,0
"Andy Dalton, Cin",9,289,563,364,4206,18,8,0,46,184,4,0,0,0,0,0,3,0
"Cam Newton, Car",7,281,510,270,3509,19,14,1,90,359,5,1,0,0,0,0,2,0
"Ezekiel Elliott, Dal",7,281,0,0,0,0,0,0,322,1631,15,0,32,363,1,0,1,0
"Eli Manning, NYG",8,274,598,377,4027,26,16,0,21,-9,0,0,0,0,0,0,4,0
"Joe Flacco, Bal",8,274,672,436,4317,20,15,4,21,58,2,0,0,0,0,0,3,0
"Sam Bradford, Min",6,255,552,395,3877,20,5,0,20,53,0,0,1,5,0,0,5,0
