"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"David Johnson","RB","ARI",2553435,1991-12-16,238.80125,186.96,289.146,91.8707662204768,1,39.2533035714286,1,152.604583333333,1,3.26,111.146666666667,-2.26,1,1.2,0.4,1.2,6.90195404915632
"LeVeon Bell","RB","PIT",2540175,1992-02-18,214.40875,147.28,265.912,85.5979774056461,2,31.0408928571428,1,128.212083333333,2,4.965,104.59,-2.965,3,1.8,0.4,1.9,6.58032536018835
"Ezekiel Elliott","RB","DAL",2555224,1995-07-22,184.687142857143,165.395,214.838,29.5397798203835,3,4.21223214285715,2,98.4904761904762,3,10.596,105.526666666667,-7.596,0,12.1,4.3,24.5,4.70122901317334
"Jordan Howard","RB","CHI",2555418,1994-11-02,182.048571428571,147.138,207.091,48.0339869046822,4,3.52982142857144,2,95.8519047619048,4,39.712,31.6,-35.712,0,6.9,1.6,12.9,4.96050184171107
"Devonta Freeman","RB","ATL",2543583,1992-03-15,178.90125,143.121,211.92,68.1807605629147,5,6.20875000000001,2,92.7045833333333,5,9.444,79.72,-4.444,2,5.3,1.5,9.8,5.96798193886439
"LeSean McCoy","RB","BUF",79607,1988-07-12,178.13625,141.48,219.136,68.8662415370369,6,11.018125,2,91.9395833333333,6,12.0625,75.74,-6.0625,7,3.6,1.1,6.1,5.90105609111969
"Antonio Brown","WR","PIT",2508061,1988-07-10,180.292321428571,144.233857142857,225.406,69.706614606263,1,9.11187500000003,1,88.6200793650794,7,3.2875,122.356666666667,3.7125,6,1.1,0.4,3.5,6.79655569683228
"Julio Jones","WR","ATL",2495454,1989-02-03,179.883035714286,141.28,224.520857142857,70.3659571978245,2,20.4473214285714,1,88.2107936507936,8,5.62,112.723333333333,2.38,5,2.7,1,5.7,6.94366283605308
"Todd Gurley","RB","LAR",2552475,1994-08-03,167.24875,133.799,207.98,64.6568666959473,7,1.58874999999998,2,81.0520833333333,9,13.212,93.9666666666667,-4.212,1,9.9,2.2,18.6,5.96592674992554
"DeMarco Murray","RB","TEN",2495207,1988-02-12,166.9875,133.59,199.356,65.2881445497573,8,8.2475,2,80.7908333333333,10,17.374,56.1466666666667,-7.374,5,7.4,1.9,14,5.92173994851739
"Lamar Miller","RB","HOU",2533034,1991-04-25,164.3325,128.08,225.2,66.6367977828317,9,17.121875,2,78.1358333333333,11,19.41,76.1433333333333,-8.41,4,13.2,3.2,26.2,6.32262738918028
"Odell Beckham","WR","NYG",2543496,1992-11-05,162.477857142857,129.982285714286,195.17,62.5511546085054,3,9.25419642857142,1,70.8056150793651,12,5.006,113.72,6.994,2,2.8,1.1,5.8,6.47204309646393
"Jay Ajayi","RB","MIA",2552582,1993-06-15,153.1475,84.04,200.098,65.3340689743873,10,14.70125,3,66.9508333333333,13,31.812,37.2833333333333,-18.812,1,6.7,1.9,12.5,5.92409466073893
"Jordy Nelson","WR","GB",1032,1985-05-31,156.393571428571,125.114857142857,186.272,59.5684355534516,4,8.53937500000001,1,64.7213293650794,14,12.018,77.1633333333333,1.982,8,5.5,1.2,11.1,6.30294337910691
"Aaron Rodgers","QB","GB",2506363,1983-12-02,293.55375,228.864,356.0576,113.012953157758,1,28.38975,1,63.2610833333333,15,18.725,71.1166666666667,-3.725,11,1.1,0.4,33.7,5.69743679693201
"Mike Evans","WR","TB",2543468,1993-08-21,150.05375,120.043,182.948,57.22372212149,5,8.07142857142858,2,58.3815079365079,16,10.072,83.5466666666667,5.928,2,4.6,1.1,9.2,6.13851099111362
"Mark Ingram","RB","NO",2495466,1989-12-21,141.27375,113.019,176.34,54.6666751635537,11,10.096875,3,55.0770833333333,17,41.56,47.4966666666667,-24.56,5,21.8,4.7,49.8,6.09164924262754
"A.J. Green","WR","CIN",2495450,1988-07-31,145.654642857143,107.36,179.79,57.2548196115401,6,8.79214285714286,2,53.9824007936508,18,11.6125,96.5666666666667,6.3875,5,4.8,1.4,9.5,6.19337188835876
"Isaiah Crowell","RB","CLE",2550189,1993-01-08,135.61875,93.6,167.796,53.4980351128665,12,9.39625000000001,3,49.4220833333333,19,42.028,21.7333333333333,-23.028,2,12.8,2.7,26,5.52136407061643
"Rob Gronkowski","TE","NE",497240,1989-05-14,127.45375,82.72,160.88,52.2805716632623,1,15.304125,1,47.1126666666667,20,15.274,81.89,4.726,6,1.2,1.1,25,7.24971747278054
"T.Y. Hilton","WR","IND",2532865,1989-11-14,138.31,105.36,167.374,53.7400020934127,7,2.97125,2,46.6377579365079,21,25.1775,66.14,-4.1775,4,9.9,2.3,20.6,6.13206330438889
"DeAndre Hopkins","WR","HOU",2540165,1992-06-06,135.415,97.68,175.12,55.8528117018293,8,0.396071428571418,2,43.7427579365079,22,20.546,84.64,1.454,3,13.9,2.9,29.6,6.37016698188032
"Dez Bryant","WR","DAL",497278,1988-11-04,135.2625,107.28,170.95,52.8728285015092,9,1.17169642857144,2,43.590257936508,23,15.406,84.04,7.594,6,8.8,2.1,18.3,6.04249657377519
"Amari Cooper","WR","OAK",2552487,1994-06-18,134.775357142857,107.820285714286,162.19,51.4549026974801,10,3.10598214285713,2,43.1031150793651,24,19.906,72.06,4.094,1,10.6,2,22.2,5.93608715078622
"Doug Baldwin","WR","SEA",2530747,1988-09-21,133.40625,106.24,162.738,51.4540989469012,11,4.76732142857142,2,41.7340079365079,25,26.058,43.7,-1.058,5,11.1,2.9,23.6,6.09477880388684
"Carlos Hyde","RB","SF",2543743,1991-09-20,126.735,101.388,157.58,49.1275253803812,13,1.185625,4,40.5383333333333,26,40.315,41.94,-14.315,2,16.1,3.8,34.6,5.57797275769065
"Spencer Ware","RB","KC",2540204,1991-11-23,125.71,69.28,160,54.0470792457835,14,3.93374999999999,4,39.5133333333333,27,56.128,12.7766666666667,-29.128,3,21.5,5.9,50.5,6.36609915583578
"Frank Gore","RB","IND",2506404,1983-05-14,125.38875,90.88,162.204,51.9376367477141,15,8.88000000000002,4,39.1920833333333,28,58.89,20.07,-30.89,11,26.7,6,66.7,6.2834586068924
"Allen Robinson","WR","JAC",2543509,1993-08-24,129.9325,102.48,159.9,51.9771266399943,12,6.17419642857142,2,38.2602579365079,29,33.778,68.3766666666667,-4.778,2,17.5,4.5,38.5,6.40973170937111
"Greg Olsen","TE","CAR",2495700,1985-03-11,116.8275,93.462,144.12,45.2106090287446,2,10.43975,1,36.4864166666667,30,37.132,36.83,-7.132,9,3.7,1.1,53.7,6.60742184503395
"Michael Thomas","WR","NO",2556370,1993-03-03,127.345357142857,50.32,171.218285714286,60.3017113962898,13,8.11383928571428,2,35.6731150793651,31,36.7,36.7033333333333,-5.7,0,7.3,1.5,14.9,6.40176523219854
"Russell Wilson","QB","SEA",2532975,1988-11-29,265.22575,212.1806,323.792,101.211474307202,2,2.81400000000002,2,34.9330833333333,32,44.252,44.4066666666667,-12.252,4,5.2,1.6,59.8,6.12932246119379
"Drew Brees","QB","NO",2504775,1979-01-15,265.10225,212.0818,311.112,100.572706960872,3,5.8485,2,34.8095833333333,33,32.338,43.69,0.661999999999999,15,3.1,0.8,42.4,5.60168617861547
"Aaron Donald","DL","LAR",2543485,1991-05-23,82.4,81.92,82.88,0.848528137423859,1,16.0375,1,32.1944444444444,34,169.7,25.21,-135.7,2,NA,NA,NA,0.586284735956097
"C.J. Anderson","RB","DEN",2540269,1991-02-10,118.16375,74.24,169.354,50.6026538181299,16,4.08187500000001,4,31.9670833333333,35,40.852,40.19,-5.852,3,21.5,5.1,50.7,5.98534504193223
"Tom Brady","QB","NE",2504211,1977-08-03,259.72125,173.808,326.1432,105.937821569718,4,2.46662500000002,2,29.4285833333333,36,25.346,45.76,10.654,16,2.2,0.9,37.5,5.81658057556387
"Matt Forte","RB","NYJ",234,1985-12-10,114.85375,79.92,166.8,49.821468499408,17,1.74874999999999,4,28.6570833333333,37,74.292,34.0666666666667,-37.292,8,40.9,7.2,110.2,6.4811738155179
"Michael Crabtree","WR","OAK",71269,1987-09-14,120.17125,96.137,143.484,45.8467568202757,14,2.858125,3,28.499007936508,38,47.806,24.01,-9.806,7,19.7,3.4,43.5,5.83191251007877
"Cam Newton","QB","CAR",2495455,1989-05-11,258.78625,207.029,309.216,98.9606976048446,5,7.37787500000002,2,28.4935833333333,39,47.574,56.1333333333333,-8.57400000000001,5,9.9,3,86.1,6.9577576256096
"Travis Kelce","TE","KC",2540258,1989-10-05,107.47175,85.9774,130.4,41.0640432425207,3,7.798625,2,27.1306666666667,40,36.414,33.75,3.586,3,2.1,0.5,38.9,5.98416226428913
"Bilal Powell","RB","NYJ",2495328,1988-10-27,113.31,75.16,143.908,45.7991050676757,18,1.04375,4,27.1133333333333,41,66.958,14.0966666666667,-25.958,5,25.4,5.5,62.1,5.84112258242778
"Melvin Gordon","RB","SD",2552469,1993-04-13,112.9,33.87,182.09,83.961221207571,19,1.81937500000001,4,26.7033333333333,42,24.7266666666667,55.18,17.2733333333333,1,NA,NA,NA,11.4951726030467
"Demaryius Thomas","WR","DEN",497328,1987-12-25,118.291785714286,94.6334285714286,142.08,45.304484768934,15,2.60696428571428,3,26.6195436507937,43,28.806,57.2933333333333,14.194,6,14.5,3,31.2,5.72741074613445
"Khalil Mack","LB","OAK",2543463,1991-02-22,107.7,94.74,120.66,22.9102597104441,1,10.8666666666667,1,26.1611111111111,44,79.055,34.5,-35.055,2,NA,NA,NA,3.14478213421907
"Terrance West","RB","BAL",2543664,1991-01-21,111.6325,58.24,146.84,47.7104055081279,20,1.30526785714284,4,25.4358333333333,45,94.734,6.35666666666667,-49.734,2,32.7,7.9,85.7,6.55155960230685
"Matt Ryan","QB","ATL",310,1985-05-17,255.723,195.584,316.8748,99.2629325176322,6,11.3495,2,25.4303333333333,46,50.206,20.9,-4.206,8,5.7,2.4,63.6,6.58404788772167
"Jordan Reed","TE","WAS",2540160,1990-07-03,105.30375,73.76,130.956,41.9805168910234,4,11.6225,2,24.9626666666667,47,37.972,43.6266666666667,9.028,3,4,1.4,56.5,6.43724787339299
"Golden Tate","WR","DET",497326,1988-08-02,116.334464285714,93.0675714285714,141.992,44.7019617283858,16,1.39687499999999,3,24.6622222222222,48,48.634,34.31,-0.634,6,24.4,5,52.7,6.042448804713
"Tevin Coleman","RB","ATL",2552453,1993-04-16,110.52875,67.2,144.98,47.5725468199622,21,2.30875,4,24.3320833333333,49,77.884,10.7166666666667,-28.884,1,27.1,5,65.8,5.80446220197202
"Rob Kelley","RB","WAS",2556414,1992-10-03,110.125714285714,81.208,130.213,28.6138007946929,22,3.83357142857143,5,23.9290476190476,50,90.342,4.39333333333333,-40.342,0,33.8,7.1,88,5.36826134866194
"Larry Fitzgerald","WR","ARI",2506106,1983-08-31,115.035178571429,92.0281428571429,139.82,43.9085434479808,17,0.272500000000008,3,23.3629365079365,51,52.966,27.5733333333333,-1.966,12,25.1,5.2,54.9,6.028051626887
"Kelvin Benjamin","WR","CAR",2543471,1991-02-05,114.84,89.84,139.402,45.0145848586877,18,1.49315476190475,3,23.1677579365079,52,62.2175,34.3833333333333,-10.2175,2,28.9,6.2,65.6,6.27367702084252
"Jarvis Landry","WR","MIA",2543488,1992-11-28,114.685357142857,91.7482857142857,148.49,44.6794142534984,19,2.77127976190476,3,23.0131150793651,53,41.368,44.2266666666667,11.632,2,27.4,6.2,61.3,6.25269314955503
"J.J. Watt","DL","HOU",2495488,1989-03-22,72.15,20.89,110.49,62.5976636944223,2,13.1291666666667,1,21.9444444444444,54,62.26,51.23,-8.26000000000001,5,NA,NA,NA,10.6163370895763
"Bashaud Breeland","DB","WAS",2543571,1992-01-30,93.35,91.47,95.23,3.32340187157678,1,7.86666666666666,1,20.3833333333333,55,224,8.085,-169,2,NA,NA,NA,-0.725945037806351
"Brandin Cooks","WR","NO",2543498,1993-09-25,112.008333333333,44.8033333333333,160.04,65.9390390815638,20,0.398422619047622,3,20.3360912698413,56,20.3633333333333,77.115,35.6366666666667,2,NA,NA,NA,10.9613901587605
"Emmanuel Sanders","WR","DEN",497322,1987-03-17,111.819821428571,86.16,141.764,44.1395014237531,21,1.97607142857143,3,20.1475793650794,57,55.32,24.61,1.68,6,25.9,5,57.9,6.00723511218149
"Paul Perkins","RB","NYG",2555460,1994-11-16,106.314285714286,52.652,132.407,36.0065382384695,23,0.136160714285722,5,20.117619047619,58,77.436,8.42,-19.436,0,30.6,6.5,78.3,5.59420445140314
"Jonathan Stewart","RB","CAR",949,1987-03-21,106.27,84.72,139.576,42.3311330464943,24,0.303125000000023,5,20.0733333333333,59,77.628,21.2933333333333,-18.628,8,36.4,6.1,97.7,5.8164164724563
"Ameer Abdullah","RB","DET",2552374,1993-06-13,106.08625,15.44,150.1,56.3836554192569,25,2.3,5,19.8895833333333,60,67.786,17.9533333333333,-7.786,1,24.7,4.7,60.4,6.17968506288664
"Brandon Marshall","WR","NYJ",2495893,1984-03-23,111.4,44.56,165.22,67.1931172070473,22,3.46830357142858,3,19.7277579365079,61,36.9766666666667,65.565,24.0233333333333,10,NA,NA,NA,11.1184171388248
"Doug Martin","RB","TB",2532899,1989-01-13,105.8475,80.64,136.764,44.4175856924935,26,5.86499999999998,5,19.6508333333333,62,69.2725,42.92,-7.27250000000001,4,31.8,7.3,82,6.22961533410532
"Stephen Gostkowski","K","NE",2506922,1984-01-28,130.112914569144,29.19875,280.069511400651,154.82294544991,1,6.04573493358839,1,17.7623960407996,63,78.272,8.42666666666667,-15.272,10,2,0.7,170.2,4.62704407568727
"Luke Kuechly","LB","CAR",2533056,1991-04-20,98.8666666666667,28.04,153.16,86.0033332687364,2,4.925,1,17.3277777777778,64,67.775,41.245,-3.77500000000001,4,NA,NA,NA,8.80863802759868
"Andrew Luck","QB","IND",2533031,1989-09-12,247.09375,197.675,292.492,93.9709164712013,7,7.09375,2,16.8010833333333,65,48.166,52.1,16.834,4,8.1,3.8,73.9,7.32678035779999
"Julian Edelman","WR","NE",238498,1986-05-22,108.2875,86.63,135.836,42.0156746792194,23,0.941220238095255,3,16.6152579365079,66,43.58,36.2866666666667,22.42,7,29.3,5.9,65.2,6.03301164517374
"Justin Tucker","K","BAL",2536340,1989-11-21,128.433419421488,21.27125,275.644318181818,165.36856589604,2,9.96235597149573,1,16.082900893143,67,85.406,5.18333333333333,-18.406,4,1.5,1.2,173.8,5.47816659007877
"Randall Cobb","WR","GB",2495448,1990-08-22,107.575892857143,86.0607142857143,130.144,41.3183401021222,24,0.939077380952355,3,15.9036507936508,68,75.22,36.98,-7.22,5,44.2,5.5,106.9,5.91880195329187
"Latavius Murray","RB","OAK",2541161,1990-01-18,101.725,34.72,160.8,65.959206142888,27,4.07000000000001,5,15.5283333333333,69,43.3766666666667,44.335,25.6233333333333,3,NA,NA,NA,9.64911507585989
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,107.116666666667,42.8466666666667,153.62,63.5416857923469,25,1.38175595238094,3,15.4444246031746,70,26.8766666666667,76.495,43.1233333333333,4,NA,NA,NA,10.6612101783403
"Stefon Diggs","WR","MIN",2552608,1993-11-29,106.156964285714,84.9255714285715,127.644571428571,40.6403923395054,26,2.1422023809524,3,14.4847222222222,71,70.552,15.1033333333333,0.447999999999993,1,29.5,5.8,68.5,5.92927198186114
"Delanie Walker","TE","TEN",2495966,1984-08-12,94.0425,69.448,118.028,37.208632734891,5,3.345,2,13.7014166666667,72,51.446,21.5766666666667,20.554,10,8.3,2.1,90.1,6.29137119794779
"Willie Snead","WR","NO",2550256,1992-10-17,105.312857142857,84.2502857142857,124.524571428571,40.0473671775954,27,2.96113095238096,3,13.6406150793651,73,79.886,11.23,-6.886,2,31.9,5,74.2,5.75104075329967
"Lavonte David","LB","TB",2532828,1990-01-23,94.8,27.3,145.62,82.296840765609,3,3.72500000000001,1,13.2611111111111,74,112.575,29.89,-38.575,4,NA,NA,NA,8.47590674310658
